model,strategy,r2_mean_corn,rmse_mean_corn,mae_mean_corn,r2_mean_soy,rmse_mean_soy,mae_mean_soy,r2_soy_minus_corn,rrmse_corn_pct,rrmse_soy_pct
LightGBM,B,0.732683374126921,20.031950481535393,14.300781464372983,0.8067032915119603,4.6221390365554464,3.5140018109963242,0.07401991738503932,18.3937723167237,13.714387252133585
RandomForest,B,0.7361673153432944,19.900925038839993,13.9759126425803,0.7994888200077843,4.7082624747067765,3.5251793810265895,0.06332150466448994,18.27346190746732,13.96992482314805
XGBoost,B,0.7217868183782014,20.43419836513879,14.723421029770517,0.7956030702745357,4.752816535148815,3.6221162266192137,0.07381625189633434,18.763125066107982,14.102121547159287
LightGBM,A,0.6937341604642251,21.442344955055944,15.492495689193328,0.7720493590245363,5.018444043955301,3.8312412293820453,0.07831519856031122,19.688827176539526,14.890267142040935
CatBoost,B,0.7005844149213285,21.197258285976595,15.501409915560368,0.7691456376171525,5.051137753928246,3.8858672598170996,0.06856122269582399,19.463783270152824,14.987272921341777
RandomForest,A,0.6881089801749717,21.638598092745212,15.35824148007024,0.7637899960310216,5.109197319632007,3.8570273625635196,0.07568101585604992,19.86903107303111,15.159541942557864
XGBoost,A,0.6832759487732122,21.805480460793255,15.86438233792622,0.7597635167763354,5.152358280233923,3.9453305874915605,0.07648756800312317,20.0222660904789,15.287605188424624
CatBoost,A,0.6710689338524081,22.220507447511775,16.35992913393195,0.7400817594405676,5.35954946225575,4.130297273006422,0.06901282558815958,20.403352890090996,15.902363871147463
GradientBoosting,B,0.6130777673282524,24.098966333301377,18.026536706020273,0.6968146342382977,5.78955594597121,4.499820338346165,0.08373686691004534,22.128194666401747,17.178239692268786
GradientBoosting,A,0.5840677177940119,24.986132491615013,18.68728303473015,0.6688010971176391,6.050858849257666,4.71508073624978,0.08473337932362723,22.942809915084844,17.953553714074555
Ridge,B,0.126716449467533,34.410510868781664,21.904744352636538,0.5697575049325261,6.897283399984962,5.365582115585534,0.44304105546499306,31.596478975221746,20.464987051882176
OLS,B,0.1117477362163147,34.605428155997636,21.904363892807343,0.5697003000289291,6.897735086965592,5.365635464434897,0.4579525638126144,31.775456264774697,20.46632725608636
Lasso,B,0.4377047008896221,29.056248889411307,21.854709329350797,0.5695337154666598,6.899137894020617,5.36857241456241,0.13182901457703766,26.680079253516762,20.47048953658906
ElasticNet,B,0.4376092138151278,29.05843660631948,21.852347253065524,0.5694526656930472,6.899783947933365,5.369332560616195,0.1318434518779194,26.68208806273079,20.47240644853721
Lasso,A,0.40369558336451,29.924674044375745,22.45132800049458,0.53056021580329,7.204378176201128,5.6255333116009645,0.12686463243878005,27.47748610559815,21.376170521446177
Ridge,A,0.4034070131667822,29.93176421183764,22.449973826904476,0.53055151577864,7.204427504796189,5.6246816909863115,0.12714450261185783,27.483996451462957,21.37631688473164
OLS,A,0.4034040935292121,29.93183317245335,22.449767510451657,0.5305497387502924,7.204441076746671,5.624655814427173,0.12714564522108035,27.484059772599124,21.376357154179015
ElasticNet,A,0.4034070836487158,29.932022534951457,22.46482979159416,0.5304116257875859,7.20552047912949,5.62728005959786,0.12700454213887014,27.48423364936059,21.37955985798385
