model,strategy,feature,coef,selected
Lasso,A,year,16.125992442603696,1
Lasso,A,GDD_below_29,20.60589445744319,1
Lasso,A,GDD_above_29,10.688970485163706,1
Lasso,A,ppt,-0.0,0
Lasso,A,ppt_sq,1.9519957076504022,1
Lasso,A,whc,3.5427388249962277,1
Lasso,A,sand,-7.998565069227718,1
Lasso,A,clay,-9.794697559965533,1
Lasso,A,om,0.1679269721276579,1
Lasso,A,kwfactor,0.0,0
Lasso,A,kffactor,-1.2948676383065818,1
Lasso,A,spH,11.605948694240062,1
Lasso,A,tfactor,3.4779804344283605,1
Lasso,B,year,15.70543351054127,1
Lasso,B,gddm36,-0.0,0
Lasso,B,gddm35,-0.0,0
Lasso,B,gddm34,-0.0,0
Lasso,B,gddm33,-0.0,0
Lasso,B,gddm32,-0.0,0
Lasso,B,gddm31,-0.0,0
Lasso,B,gddm30,-0.0,0
Lasso,B,gddm29,-0.0,0
Lasso,B,gddm28,-0.12489412334828232,1
Lasso,B,gddm27,-0.05618586901426026,1
Lasso,B,gddm26,-0.4461706777666085,1
Lasso,B,gddm25,-0.0,0
Lasso,B,gddm24,-1.4756380226847234,1
Lasso,B,gddm23,-0.0,0
Lasso,B,gddm22,-0.0,0
Lasso,B,gddm21,-0.0,0
Lasso,B,gddm20,-0.0,0
Lasso,B,gddm19,-0.0,0
Lasso,B,gddm18,-0.0,0
Lasso,B,gddm17,-0.7424154972369711,1
Lasso,B,gddm16,-0.11761423363023805,1
Lasso,B,gddm15,-0.32682834348819373,1
Lasso,B,gddm14,-0.8369597129271797,1
Lasso,B,gddm13,-0.0,0
Lasso,B,gddm12,-0.0,0
Lasso,B,gddm11,-0.0,0
Lasso,B,gddm10,-0.0,0
Lasso,B,gddm9,-0.0,0
Lasso,B,gddm8,-0.11491836823603915,1
Lasso,B,gddm7,-1.6696589244834499,1
Lasso,B,gddm6,-0.0,0
Lasso,B,gddm5,-0.0,0
Lasso,B,gddm4,-0.0,0
Lasso,B,gddm3,-0.0,0
Lasso,B,gddm2,-0.0,0
Lasso,B,gddm1,-0.0,0
Lasso,B,gdd0,0.0,0
Lasso,B,gddp1,0.0,0
Lasso,B,gddp2,0.0,0
Lasso,B,gddp3,0.0,0
Lasso,B,gddp4,0.0,0
Lasso,B,gddp5,0.0,0
Lasso,B,gddp6,0.0,0
Lasso,B,gddp7,0.6695540593020213,1
Lasso,B,gddp8,0.8364393690702706,1
Lasso,B,gddp9,0.0,0
Lasso,B,gddp10,-0.0,0
Lasso,B,gddp11,-0.0,0
Lasso,B,gddp12,-0.0,0
Lasso,B,gddp13,-0.0,0
Lasso,B,gddp14,-0.0,0
Lasso,B,gddp15,-0.0,0
Lasso,B,gddp16,-0.0,0
Lasso,B,gddp17,0.0,0
Lasso,B,gddp18,2.603906010881975,1
Lasso,B,gddp19,1.5316637454042603,1
Lasso,B,gddp20,1.1581222123842947,1
Lasso,B,gddp21,0.0,0
Lasso,B,gddp22,0.0,0
Lasso,B,gddp23,2.2219793678498228,1
Lasso,B,gddp25,2.5336530161205397,1
Lasso,B,gddp26,1.2246380426807832,1
Lasso,B,gddp27,2.728590303243224,1
Lasso,B,gddp28,3.7874452507162077,1
Lasso,B,gddp29,0.0,0
Lasso,B,gddp30,-0.0,0
Lasso,B,gddp31,-1.264959977661023,1
Lasso,B,gddp32,-2.8055726590797687,1
Lasso,B,gddp33,-1.8679834096261898,1
Lasso,B,gddp34,-2.2070913532543117,1
Lasso,B,gddp35,-0.0,0
Lasso,B,gddp36,-1.3396037377589027,1
Lasso,B,gddp37,-0.709857688679211,1
Lasso,B,gddp38,-2.321166153558081,1
Lasso,B,gddp39,-0.0,0
Lasso,B,gddp40,0.0,0
Lasso,B,gddp41,0.3784983270182817,1
Lasso,B,gddp42,2.250617158914892,1
Lasso,B,gddp43,0.0,0
Lasso,B,gddp44,0.0,0
Lasso,B,gddp45,0.0,0
Lasso,B,gddp46,-0.0,0
Lasso,B,gddp47,-0.0,0
Lasso,B,gddp48,-0.16626143395837906,1
Lasso,B,gddp49,-0.3385560586675494,1
Lasso,B,gddp50,-0.2711345740205517,1
Lasso,B,ppt,-0.8349527540784902,1
Lasso,B,ppt_sq,0.0,0
Lasso,B,whc,3.3414270926074985,1
Lasso,B,sand,-6.47802896759706,1
Lasso,B,clay,-9.920898441331165,1
Lasso,B,om,0.0,0
Lasso,B,kwfactor,0.0,0
Lasso,B,kffactor,0.0,0
Lasso,B,spH,13.521900628242351,1
Lasso,B,tfactor,2.3597757029549906,1
ElasticNet,A,year,16.039696529564136,1
ElasticNet,A,GDD_below_29,19.610141642812984,1
ElasticNet,A,GDD_above_29,9.622439153048,1
ElasticNet,A,ppt,-0.153547613559159,1
ElasticNet,A,ppt_sq,2.118962704150837,1
ElasticNet,A,whc,3.6149391165661657,1
ElasticNet,A,sand,-7.479347874354852,1
ElasticNet,A,clay,-9.336759619951179,1
ElasticNet,A,om,0.1481843951530743,1
ElasticNet,A,kwfactor,0.1753235200841029,1
ElasticNet,A,kffactor,-1.1107684054753848,1
ElasticNet,A,spH,11.300369220999045,1
ElasticNet,A,tfactor,3.4417415379196727,1
ElasticNet,B,year,15.685912320143633,1
ElasticNet,B,gddm36,-0.02175343086749476,1
ElasticNet,B,gddm35,-0.0,0
ElasticNet,B,gddm34,-0.0,0
ElasticNet,B,gddm33,-0.0,0
ElasticNet,B,gddm32,-0.0,0
ElasticNet,B,gddm31,-0.0,0
ElasticNet,B,gddm30,-0.0,0
ElasticNet,B,gddm29,-0.0,0
ElasticNet,B,gddm28,-0.14983973966636888,1
ElasticNet,B,gddm27,-0.06670690947492297,1
ElasticNet,B,gddm26,-0.4720856106243261,1
ElasticNet,B,gddm25,-0.0,0
ElasticNet,B,gddm24,-1.3888470362061922,1
ElasticNet,B,gddm23,-0.07551997269790253,1
ElasticNet,B,gddm22,-0.0,0
ElasticNet,B,gddm21,-0.0,0
ElasticNet,B,gddm20,-0.0,0
ElasticNet,B,gddm19,-0.0,0
ElasticNet,B,gddm18,-0.0,0
ElasticNet,B,gddm17,-0.680213954594962,1
ElasticNet,B,gddm16,-0.24393711798056342,1
ElasticNet,B,gddm15,-0.36794555784569427,1
ElasticNet,B,gddm14,-0.7261698671671404,1
ElasticNet,B,gddm13,-0.0,0
ElasticNet,B,gddm12,-0.0,0
ElasticNet,B,gddm11,-0.0,0
ElasticNet,B,gddm10,-0.0,0
ElasticNet,B,gddm9,-0.0,0
ElasticNet,B,gddm8,-0.266015061848665,1
ElasticNet,B,gddm7,-1.5426700877665176,1
ElasticNet,B,gddm6,-0.044362604301272854,1
ElasticNet,B,gddm5,-0.0,0
ElasticNet,B,gddm4,-0.0,0
ElasticNet,B,gddm3,-0.0,0
ElasticNet,B,gddm2,-0.0,0
ElasticNet,B,gddm1,-0.0,0
ElasticNet,B,gdd0,0.0,0
ElasticNet,B,gddp1,0.0,0
ElasticNet,B,gddp2,0.0,0
ElasticNet,B,gddp3,0.0,0
ElasticNet,B,gddp4,0.0,0
ElasticNet,B,gddp5,0.0,0
ElasticNet,B,gddp6,0.0,0
