model,strategy,feature,coef,selected
Lasso,A,year,4.264029491141162,1
Lasso,A,GDD_below_29,4.948111189761451,1
Lasso,A,GDD_above_29,1.3044821799344362,1
Lasso,A,ppt,5.996408082502233,1
Lasso,A,ppt_sq,-5.011538602322289,1
Lasso,A,whc,0.3691135938131241,1
Lasso,A,sand,-5.315275833395238,1
Lasso,A,clay,-4.173277266635958,1
Lasso,A,om,0.0,0
Lasso,A,kwfactor,-0.7988998798493695,1
Lasso,A,kffactor,-1.3398328571508922,1
Lasso,A,spH,2.761833580699066,1
Lasso,A,tfactor,1.2299617706812975,1
Lasso,B,year,4.292420317211205,1
Lasso,B,gddm36,-0.0,0
Lasso,B,gddm35,-0.0,0
Lasso,B,gddm34,-0.0,0
Lasso,B,gddm33,-0.021926365726844723,1
Lasso,B,gddm32,-0.001140263546528357,1
Lasso,B,gddm31,-0.0,0
Lasso,B,gddm30,-0.0,0
Lasso,B,gddm29,-0.0,0
Lasso,B,gddm28,-0.024180018475578803,1
Lasso,B,gddm27,-0.0,0
Lasso,B,gddm26,-0.047056630259189554,1
Lasso,B,gddm25,-0.17198532230996164,1
Lasso,B,gddm24,-0.2137366065803571,1
Lasso,B,gddm23,-0.0,0
Lasso,B,gddm22,-0.18680974730455885,1
Lasso,B,gddm21,-0.0,0
Lasso,B,gddm20,0.0,0
Lasso,B,gddm19,-0.0,0
Lasso,B,gddm18,-0.0,0
Lasso,B,gddm17,-0.21707295640159005,1
Lasso,B,gddm16,-0.16541907719540824,1
Lasso,B,gddm15,-0.0,0
Lasso,B,gddm14,-0.06881274888073269,1
Lasso,B,gddm13,-0.4632294079041551,1
Lasso,B,gddm12,-0.23947622456020112,1
Lasso,B,gddm11,-0.09382531193328389,1
Lasso,B,gddm10,-0.0,0
Lasso,B,gddm9,-0.0,0
Lasso,B,gddm8,-0.14691758936904925,1
Lasso,B,gddm7,-0.3707302541546738,1
Lasso,B,gddm6,-0.0,0
Lasso,B,gddm5,0.0,0
Lasso,B,gddm4,0.0,0
Lasso,B,gddm3,0.0,0
Lasso,B,gddm2,0.0,0
Lasso,B,gddm1,0.0,0
Lasso,B,gdd0,0.0,0
Lasso,B,gddp1,0.0,0
Lasso,B,gddp2,-0.0,0
Lasso,B,gddp3,0.0,0
Lasso,B,gddp4,0.0,0
Lasso,B,gddp5,0.27692277515443625,1
Lasso,B,gddp6,0.4266554569764305,1
Lasso,B,gddp7,0.07615314637931249,1
Lasso,B,gddp8,0.40603366862569246,1
Lasso,B,gddp9,0.0,0
Lasso,B,gddp10,-0.0,0
Lasso,B,gddp11,-0.5637762170381547,1
Lasso,B,gddp12,-0.0,0
Lasso,B,gddp13,0.0,0
Lasso,B,gddp14,-0.0,0
Lasso,B,gddp15,-0.35654592755659376,1
Lasso,B,gddp16,-0.3092144052630157,1
Lasso,B,gddp17,0.0,0
Lasso,B,gddp18,0.1074552180377447,1
Lasso,B,gddp19,0.094902255489542,1
Lasso,B,gddp20,0.3413028003759657,1
Lasso,B,gddp21,0.0,0
Lasso,B,gddp22,0.0,0
Lasso,B,gddp23,0.09048104020768886,1
Lasso,B,gddp25,0.40737495136887075,1
Lasso,B,gddp26,0.7866699189916312,1
Lasso,B,gddp27,0.3298581956436729,1
Lasso,B,gddp28,0.7145532908662149,1
Lasso,B,gddp29,0.11782408042382751,1
Lasso,B,gddp30,-0.5072642698776085,1
Lasso,B,gddp31,-1.3396307046843008,1
Lasso,B,gddp32,-0.24427922714210068,1
Lasso,B,gddp33,-1.187473582836328,1
Lasso,B,gddp34,-0.5930636250588788,1
Lasso,B,gddp35,-0.23462245487197594,1
Lasso,B,gddp36,-0.2607757172432152,1
Lasso,B,gddp37,-0.3703098998059329,1
Lasso,B,gddp38,-0.8172677154246041,1
Lasso,B,gddp39,-0.4019209836624198,1
Lasso,B,gddp40,-0.0,0
Lasso,B,gddp41,-0.0,0
Lasso,B,gddp42,-8.390617724713459e-05,1
Lasso,B,gddp43,-0.1602279743626438,1
Lasso,B,gddp44,-0.0,0
Lasso,B,gddp45,-0.11379347609232603,1
Lasso,B,gddp46,-0.0,0
Lasso,B,gddp47,0.0,0
Lasso,B,gddp48,0.0,0
Lasso,B,gddp49,0.0,0
Lasso,B,gddp50,0.0,0
Lasso,B,ppt,3.5713547410646465,1
Lasso,B,ppt_sq,-3.3406489094716423,1
Lasso,B,whc,0.4176691069101105,1
Lasso,B,sand,-4.791653809154856,1
Lasso,B,clay,-4.078591361324052,1
Lasso,B,om,-0.01667850033208208,1
Lasso,B,kwfactor,-1.19033247798831,1
Lasso,B,kffactor,-0.6404289417754221,1
Lasso,B,spH,3.150306491549611,1
Lasso,B,tfactor,1.0105073979349293,1
ElasticNet,A,year,4.258761794154157,1
ElasticNet,A,GDD_below_29,4.901832225825889,1
ElasticNet,A,GDD_above_29,1.2223460226963476,1
ElasticNet,A,ppt,5.594310825715801,1
ElasticNet,A,ppt_sq,-4.6182889592230865,1
ElasticNet,A,whc,0.3744896541517948,1
ElasticNet,A,sand,-5.118625396573953,1
ElasticNet,A,clay,-4.042822567573081,1
ElasticNet,A,om,0.0023155289809437996,1
ElasticNet,A,kwfactor,-0.7618423354738104,1
ElasticNet,A,kffactor,-1.233306594949666,1
ElasticNet,A,spH,2.717046106796455,1
ElasticNet,A,tfactor,1.2250300095793332,1
ElasticNet,B,year,4.291724616422434,1
ElasticNet,B,gddm36,-0.0,0
ElasticNet,B,gddm35,-0.0,0
ElasticNet,B,gddm34,-0.0,0
ElasticNet,B,gddm33,-0.022665749969236915,1
ElasticNet,B,gddm32,-0.001149506745911603,1
ElasticNet,B,gddm31,-0.0,0
ElasticNet,B,gddm30,-0.0,0
ElasticNet,B,gddm29,-0.0,0
ElasticNet,B,gddm28,-0.024399076605492172,1
ElasticNet,B,gddm27,-0.0,0
ElasticNet,B,gddm26,-0.04838729150171936,1
ElasticNet,B,gddm25,-0.17107853722837812,1
ElasticNet,B,gddm24,-0.21397351241786497,1
ElasticNet,B,gddm23,-0.0,0
ElasticNet,B,gddm22,-0.18890448316450068,1
ElasticNet,B,gddm21,-0.0,0
ElasticNet,B,gddm20,0.0,0
ElasticNet,B,gddm19,-0.0,0
ElasticNet,B,gddm18,-0.0,0
ElasticNet,B,gddm17,-0.2178744866249732,1
ElasticNet,B,gddm16,-0.1637022908667336,1
ElasticNet,B,gddm15,-0.0,0
ElasticNet,B,gddm14,-0.07911318333204184,1
ElasticNet,B,gddm13,-0.45014041550304,1
ElasticNet,B,gddm12,-0.24348861769445382,1
ElasticNet,B,gddm11,-0.09376797247736149,1
ElasticNet,B,gddm10,-0.0,0
ElasticNet,B,gddm9,-0.0,0
ElasticNet,B,gddm8,-0.15114382468190019,1
ElasticNet,B,gddm7,-0.36881807411473394,1
ElasticNet,B,gddm6,-0.0,0
ElasticNet,B,gddm5,0.0,0
ElasticNet,B,gddm4,0.0,0
ElasticNet,B,gddm3,0.0,0
ElasticNet,B,gddm2,0.0,0
ElasticNet,B,gddm1,0.0,0
ElasticNet,B,gdd0,0.0,0
ElasticNet,B,gddp1,0.0,0
ElasticNet,B,gddp2,-0.0,0
ElasticNet,B,gddp3,0.0,0
ElasticNet,B,gddp4,0.0,0
ElasticNet,B,gddp5,0.2851009768796033,1
ElasticNet,B,gddp6,0.42039428837212206,1
ElasticNet,B,gddp7,0.08435558219268778,1
ElasticNet,B,gddp8,0.4073242612788918,1
ElasticNet,B,gddp9,0.0,0
ElasticNet,B,gddp10,-0.0,0
ElasticNet,B,gddp11,-0.5691688477630528,1
ElasticNet,B,gddp12,-0.0,0
ElasticNet,B,gddp13,0.0,0
ElasticNet,B,gddp14,-0.0,0
ElasticNet,B,gddp15,-0.3570188976045027,1
ElasticNet,B,gddp16,-0.3156906607474154,1
ElasticNet,B,gddp17,0.0,0
ElasticNet,B,gddp18,0.1148620257967366,1
ElasticNet,B,gddp19,0.09542544369834288,1
ElasticNet,B,gddp20,0.33896733234270093,1
ElasticNet,B,gddp21,0.0,0
ElasticNet,B,gddp22,0.0,0
ElasticNet,B,gddp23,0.09174064201703003,1
ElasticNet,B,gddp25,0.411171332645802,1
ElasticNet,B,gddp26,0.7790259096540203,1
ElasticNet,B,gddp27,0.33946207673915463,1
ElasticNet,B,gddp28,0.6960255836677064,1
ElasticNet,B,gddp29,0.1544102068217823,1
ElasticNet,B,gddp30,-0.5546693170042116,1
ElasticNet,B,gddp31,-1.307270325278135,1
ElasticNet,B,gddp32,-0.2776145557902984,1
ElasticNet,B,gddp33,-1.163532450852744,1
ElasticNet,B,gddp34,-0.5998326100345873,1
ElasticNet,B,gddp35,-0.23622529078255314,1
ElasticNet,B,gddp36,-0.263273882318935,1
ElasticNet,B,gddp37,-0.3750619379048861,1
ElasticNet,B,gddp38,-0.8102730006406338,1
ElasticNet,B,gddp39,-0.40541944831834537,1
ElasticNet,B,gddp40,-0.0,0
ElasticNet,B,gddp41,-0.0,0
ElasticNet,B,gddp42,-0.0012732657382474458,1
ElasticNet,B,gddp43,-0.16023965341585902,1
ElasticNet,B,gddp44,-0.0,0
ElasticNet,B,gddp45,-0.11458385849919092,1
ElasticNet,B,gddp46,-0.0,0
ElasticNet,B,gddp47,0.0,0
ElasticNet,B,gddp48,0.0,0
ElasticNet,B,gddp49,0.0,0
ElasticNet,B,gddp50,0.0,0
ElasticNet,B,ppt,3.465118846810401,1
ElasticNet,B,ppt_sq,-3.239160922138404,1
ElasticNet,B,whc,0.42274936959368675,1
ElasticNet,B,sand,-4.719097218665086,1
ElasticNet,B,clay,-4.032359227004524,1
ElasticNet,B,om,-0.015650912612623955,1
ElasticNet,B,kwfactor,-1.177099479879329,1
ElasticNet,B,kffactor,-0.6054733494841803,1
ElasticNet,B,spH,3.1394326514878137,1
ElasticNet,B,tfactor,1.0086657043187994,1
