model,strategy,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,r2_folds,seconds
LightGBM,B,0.731760939217778,0.005210961186820209,20.075736867759638,0.3604586366548203,14.309013858565743,0.2366402687643345,0.733|0.741|0.726|0.730|0.728,76.34443712234497
RandomForest,B,0.7303279678044753,0.006953738501126091,20.12777683421953,0.35643087578040816,14.079654197439845,0.20180913667164013,0.735|0.740|0.723|0.731|0.722,633.0709369182587
XGBoost,B,0.7181445249520442,0.007359756760841709,20.576293087836053,0.29994597899629133,14.78767676076312,0.1979699960305451,0.727|0.725|0.707|0.715|0.716,87.27118396759033
CatBoost,B,0.7037998186645218,0.006623403224400408,21.093648410903935,0.2545935697165715,15.404527278697808,0.20579711380607646,0.712|0.708|0.693|0.702|0.704,121.3074471950531
LightGBM,A,0.6946026147805516,0.0070395995638052235,21.419392444381668,0.32652653412030064,15.485852880499275,0.19416153558888188,0.702|0.701|0.686|0.686|0.698,13.982156991958618
XGBoost,A,0.6819203280052818,0.004749694541179685,21.861302330018553,0.3346411924024101,15.897513019714728,0.2512973235239697,0.685|0.689|0.677|0.676|0.683,10.621968984603882
RandomForest,A,0.67981577903456,0.010478303316383407,21.930724219482915,0.43939594129976317,15.468490223742904,0.22544061254068454,0.688|0.695|0.666|0.676|0.674,73.19450259208679
CatBoost,A,0.6719074480138552,0.007335104912893287,22.199787508176712,0.23090625879991972,16.325603453416164,0.17062701253463372,0.683|0.674|0.660|0.671|0.672,40.83598256111145
GradientBoosting,B,0.6168067827478145,0.007188327022730501,23.9926895813238,0.2670557100871096,17.95342572613105,0.21705193368563835,0.625|0.618|0.605|0.613|0.623,988.9429590702057
GradientBoosting,A,0.5849276922055462,0.008892837998814,24.971607696817525,0.39000786199482246,18.68065006823123,0.29389447435911115,0.590|0.591|0.574|0.575|0.595,93.40269565582275
ElasticNet,B,0.437027999950346,0.012379768544424899,29.084004704160293,0.5652900388852663,21.85953874371256,0.3922383373186742,0.434|0.447|0.436|0.416|0.452,31.27272629737854
Lasso,B,0.4365052690983653,0.012306468532536528,29.097524332168565,0.5635268568536975,21.869923143702728,0.3997835354584563,0.435|0.448|0.435|0.415|0.450,27.271363496780396
Lasso,A,0.4047029638089693,0.01185632239638826,29.90683413365037,0.5171552409277312,22.433600738243825,0.36478843616791723,0.413|0.418|0.409|0.385|0.399,1.709519386291504
OLS,A,0.4046697450709722,0.012181469309706792,29.90751499326994,0.5177352334913882,22.426522219703163,0.37046576697430056,0.414|0.419|0.408|0.384|0.398,0.18495821952819824
Ridge,A,0.40466654874839963,0.012167751271973455,29.90760722547184,0.518018015476258,22.426889583208464,0.37052196542198024,0.414|0.419|0.408|0.384|0.398,0.980872392654419
ElasticNet,A,0.404336097973657,0.011558515840525115,29.916416482984108,0.5298282885303803,22.449132950419937,0.3751660089961981,0.410|0.418|0.409|0.384|0.400,3.6823248863220215
Ridge,B,0.10930069873635843,0.6596931744048316,34.70460234763086,11.248724730364154,21.90460320686505,0.42683811715690817,0.438|0.448|-1.210|0.417|0.453,21.105000972747803
OLS,B,0.09173780848928545,0.6940126478727016,34.933783442605296,11.685508392580944,21.907800140915374,0.42299513275345857,0.439|0.448|-1.296|0.417|0.451,5.981900453567505
