model,strategy,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,r2_folds,seconds
LightGBM,B,0.8067032915119603,0.007805999575951012,4.6221390365554464,0.06050836786759515,3.5140018109963242,0.03311131350831163,0.795|0.814|0.800|0.809|0.816,34.89711833000183
RandomForest,B,0.7994888200077843,0.0064222630910678495,4.7082624747067765,0.057928037092067584,3.5251793810265895,0.028207140401363337,0.794|0.807|0.791|0.800|0.805,100.1860671043396
XGBoost,B,0.7956030702745357,0.008699703857103171,4.752816535148815,0.0644057518786577,3.6221162266192137,0.035723376666676625,0.783|0.803|0.789|0.798|0.806,12.336310148239136
LightGBM,A,0.7720493590245363,0.011366130194735457,5.018444043955301,0.07391931536361296,3.8312412293820453,0.034394422506966706,0.759|0.779|0.757|0.780|0.785,25.14403772354126
CatBoost,B,0.7691456376171525,0.009333514461518913,5.051137753928246,0.05822976614720306,3.8858672598170996,0.03899403341253678,0.755|0.774|0.764|0.769|0.783,15.29962420463562
RandomForest,A,0.7637899960310216,0.009904553798055566,5.109197319632007,0.05368126401478828,3.8570273625635196,0.025992024693571668,0.755|0.767|0.750|0.772|0.776,20.551505088806152
XGBoost,A,0.7597635167763354,0.010316584566134981,5.152358280233923,0.047759941646204306,3.9453305874915605,0.0272328487477319,0.749|0.762|0.747|0.765|0.775,4.585845947265625
CatBoost,A,0.7400817594405676,0.010376242719445539,5.35954946225575,0.04496315546556443,4.130297273006422,0.034842239252221366,0.729|0.744|0.729|0.743|0.756,5.205915927886963
GradientBoosting,B,0.6968146342382977,0.009153913236830112,5.78955594597121,0.05660063727546,4.499820338346165,0.03968644003180758,0.685|0.706|0.688|0.697|0.708,240.38046193122864
GradientBoosting,A,0.6688010971176391,0.010102783898398256,6.050858849257666,0.029978086628611324,4.71508073624978,0.029722144358778388,0.658|0.672|0.658|0.670|0.685,41.80136704444885
Ridge,B,0.5697575049325261,0.010194820199190859,6.897283399984962,0.05563462653142107,5.365582115585534,0.04138007073639118,0.563|0.574|0.562|0.562|0.588,1.0083138942718506
OLS,B,0.5697003000289291,0.01023369277072623,6.897735086965592,0.05568368132220067,5.365635464434897,0.0411609957754186,0.562|0.574|0.562|0.562|0.588,0.3133828639984131
Lasso,B,0.5695337154666598,0.009859482509305167,6.899137894020617,0.05516297510027373,5.36857241456241,0.04038745561563013,0.564|0.573|0.561|0.562|0.587,0.8946611881256104
ElasticNet,B,0.5694526656930472,0.009883671818332811,6.899783947933365,0.05527630767896524,5.369332560616195,0.04063342472116009,0.564|0.573|0.561|0.562|0.587,1.268376111984253
Lasso,A,0.53056021580329,0.011551294164609314,7.204378176201128,0.03004304392394807,5.6255333116009645,0.030279369216785573,0.526|0.530|0.515|0.531|0.551,0.1885080337524414
Ridge,A,0.53055151577864,0.011621789134352283,7.204427504796189,0.029046358272459945,5.6246816909863115,0.029543164728662804,0.526|0.529|0.515|0.531|0.551,0.1330568790435791
OLS,A,0.5305497387502924,0.011621927037891158,7.204441076746671,0.029032397067647965,5.624655814427173,0.029522283240819343,0.526|0.529|0.515|0.531|0.551,0.03850078582763672
ElasticNet,A,0.5304116257875859,0.01155243793619778,7.20552047912949,0.030522937773156286,5.62728005959786,0.03073263339323709,0.526|0.529|0.515|0.530|0.551,0.3245868682861328
