model,strategy,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,r2_folds,seconds
LightGBM,B,0.6908252340121914,0.02552148125800232,8.782619885831913,0.3924973082914729,6.0477911715274955,0.14356293631102854,0.684|0.652|0.730|0.703|0.685,57.2041392326355
RandomForest,B,0.6824217418456883,0.024311945743188793,8.90093651266555,0.34631781046169874,5.964490495289775,0.15038499512395706,0.681|0.655|0.723|0.691|0.662,414.0805311203003
XGBoost,B,0.6786354337140592,0.024951873018497765,8.955389526220936,0.39302877680349735,6.246831994571169,0.15851099871128652,0.668|0.644|0.719|0.690|0.672,84.67906093597412
CatBoost,B,0.6518735043671944,0.0228644662449728,9.322382595690502,0.34613628438701527,6.648363978233372,0.13947110104193883,0.644|0.620|0.686|0.668|0.641,84.87622213363647
LightGBM,A,0.6442424388002678,0.025658501311289945,9.42065622921742,0.30761306433868923,6.635998751514583,0.13163472699219023,0.651|0.608|0.677|0.663|0.622,12.687273502349854
RandomForest,A,0.6243493528853865,0.03397563930889987,9.675537050968336,0.3876854179966965,6.594259851770741,0.15381395326518332,0.639|0.584|0.677|0.630|0.592,76.38906121253967
XGBoost,A,0.6225845490913107,0.031499059606930425,9.702005679042998,0.40377069795606746,6.866213700412729,0.15366487827229303,0.619|0.578|0.664|0.651|0.601,9.987223863601685
CatBoost,A,0.6133081576333576,0.02010517396315802,9.827000003047706,0.30113355503377576,7.0985482492796255,0.1280782275145007,0.607|0.589|0.644|0.628|0.598,30.438917875289917
GradientBoosting,B,0.5441709241483326,0.023513505124138696,10.668903507839566,0.3046330465664686,7.867084814273838,0.16629023441088994,0.547|0.510|0.582|0.548|0.533,668.6942911148071
GradientBoosting,A,0.5039990573991825,0.022693153819339854,11.129428888664165,0.26968394300726795,8.257075364762407,0.16735453891524021,0.507|0.478|0.538|0.517|0.480,134.63734197616577
Ridge,B,0.323749111581299,0.0074726490845732005,13.00051060637237,0.2615574975798149,9.771905529097234,0.19971691348829432,0.327|0.310|0.333|0.325|0.325,13.695817947387695
OLS,B,0.32361380080452407,0.007501845686557929,13.001803474162708,0.26130136067667314,9.779196543738045,0.20003597215177263,0.327|0.310|0.333|0.324|0.325,3.6338565349578857
Lasso,B,0.32308206992870087,0.007155438592467297,13.006994593421012,0.2639786670649014,9.774691530067042,0.20277878251237536,0.325|0.310|0.333|0.325|0.322,74.8239541053772
ElasticNet,B,0.3223361832054631,0.0069610031644067195,13.014059622631265,0.257970824800481,9.768765146472301,0.20196529917386355,0.325|0.309|0.330|0.325|0.322,103.8276617527008
Ridge,A,0.2759881415860591,0.021265326142964443,13.454473909841301,0.4628638479063941,10.126242648512081,0.2588897070670381,0.251|0.285|0.286|0.252|0.306,2.926764965057373
OLS,A,0.275984732116462,0.02126112779827684,13.45450396525617,0.46278031070329645,10.126510157782295,0.2588180979762222,0.251|0.285|0.286|0.252|0.306,0.814035177230835
Lasso,A,0.2759797556392373,0.02129981664972826,13.454578307358535,0.46396128151533783,10.124142879083957,0.25982577144071034,0.251|0.285|0.286|0.253|0.306,10.749234199523926
ElasticNet,A,0.27592692034189614,0.021373584296562526,13.455095495110516,0.46536568491731556,10.12062937536398,0.2608779856208288,0.250|0.285|0.286|0.253|0.306,15.274084329605103
